Rk,Name,Age,Tm,Pit/PA,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,AS/Pit,Con,1st%,30%,2%,L/SO%
755,Jose Urena\urenajo01,27,MIA,3.72,63.10%,22.20%,16.50%,29.10%,32.20%,77.80%,49.10%,78.80%,56.40%,4.30%,22.20%,25.80%
756,Richard Urena\urenari01,23,TOR,3.5,53.60%,20.00%,6.70%,26.70%,46.70%,80.00%,42.90%,91.70%,50.00%,12.50%,0.00%,
757,Julio Urias*\uriasju01,22,LAD,4.11,64.40%,20.20%,23.80%,31.80%,24.20%,79.80%,51.30%,70.10%,59.60%,5.20%,26.00%,12.90%
758,Jose Urquidy\urquijo01,24,HOU,4.15,64.10%,28.40%,20.30%,24.30%,27.00%,71.60%,45.90%,71.70%,63.50%,4.80%,32.90%,20.00%
759,Framber Valdez*\valdefr01,25,HOU,3.57,60.20%,27.70%,18.80%,23.30%,30.10%,72.30%,43.50%,74.00%,58.40%,7.00%,16.10%,19.10%
760,Phillips Valdez\valdeph01,27,TEX,3.95,62.80%,32.80%,15.10%,27.40%,24.70%,67.20%,42.20%,77.60%,48.00%,4.00%,26.70%,16.70%
761,Jason Vargas*\vargaja01,36,TOT,3.86,60.80%,28.30%,17.30%,24.40%,30.00%,71.70%,43.60%,75.80%,58.10%,4.60%,18.50%,22.60%
762,Andrew Vasquez*\vasquan02,25,MIN,4.33,15.40%,50.00%,0.00%,50.00%,0.00%,50.00%,7.70%,100.00%,0.00%,33.30%,0.00%,
763,Felipe Vazquez*\riverfe01,27,PIT,4.06,68.80%,26.80%,21.40%,32.30%,19.50%,73.20%,50.40%,70.80%,64.80%,3.80%,39.00%,24.40%
764,Vince Velasquez\velasvi01,27,PHI,4.08,63.70%,22.30%,20.20%,32.90%,24.60%,77.70%,49.50%,74.00%,59.20%,5.60%,25.60%,14.60%
765,Hector Velazquez\velazhe01,30,BOS,3.97,60.20%,24.20%,17.90%,29.60%,28.30%,75.80%,45.70%,76.30%,60.30%,5.70%,21.50%,26.50%
766,Pat Venditte#\vendipa01,34,SFG,3.32,58.70%,24.30%,13.50%,29.70%,32.40%,75.70%,44.40%,82.10%,47.40%,0.00%,10.50%,0.00%
767,Jonny Venters*\ventejo01,34,TOT,4.02,53.30%,32.40%,18.10%,25.70%,23.80%,67.60%,36.00%,73.20%,46.90%,14.30%,16.30%,25.00%
768,Drew VerHagen\verhadr01,28,DET,3.63,64.10%,30.40%,15.80%,24.10%,29.70%,69.60%,44.70%,77.30%,61.90%,3.10%,29.20%,25.50%
769,Justin Verlander\verlaju01,36,HOU,4.07,68.50%,24.20%,25.50%,29.20%,21.10%,75.80%,51.90%,66.40%,64.30%,2.10%,38.30%,16.70%
770,Thyago Vieira\vieirth01,25,CHW,4.57,60.90%,24.30%,22.30%,30.10%,23.30%,75.70%,46.20%,70.50%,48.60%,5.40%,10.80%,25.00%
771,Nick Vincent\vinceni01,32,TOT,3.84,67.30%,24.40%,18.10%,31.50%,26.00%,75.60%,50.90%,76.10%,67.70%,4.60%,35.90%,29.80%
772,Arodys Vizcaino\vizcaar01,28,ATL,4,64.70%,27.30%,20.50%,34.10%,18.20%,72.70%,47.10%,71.90%,58.80%,0.00%,23.50%,33.30%
773,Edinson Volquez\volqued01,35,TEX,3.96,61.30%,31.90%,13.20%,25.80%,29.10%,68.10%,41.80%,80.60%,61.30%,8.00%,24.00%,10.00%
774,Austin Voth\vothau01,27,WSN,3.91,64.30%,25.50%,21.40%,27.30%,25.90%,74.50%,48.00%,71.30%,60.60%,5.70%,22.90%,29.50%
775,Michael Wacha\wachami01,27,STL,3.92,62.40%,23.30%,16.20%,31.30%,29.10%,76.70%,47.80%,78.80%,57.70%,6.00%,19.40%,24.00%
776,Jacob Waguespack\wagueja01,25,TOR,3.98,63.20%,22.60%,16.90%,32.30%,28.30%,77.40%,48.90%,78.20%,59.10%,3.90%,25.10%,14.30%
777,Adam Wainwright\wainwad01,37,STL,3.86,62.40%,32.10%,13.30%,25.70%,29.00%,67.90%,42.40%,80.50%,58.60%,4.80%,22.00%,34.60%
778,Marcus Walden\waldema01,30,BOS,3.87,63.20%,22.80%,22.80%,27.70%,26.70%,77.20%,48.80%,70.40%,61.00%,3.70%,22.00%,19.70%
779,Jeremy Walker\walkeje02,24,ATL,4.32,57.30%,22.30%,16.00%,31.90%,29.80%,77.70%,44.50%,79.50%,44.70%,5.30%,23.70%,0.00%
780,Taijuan Walker\walketa01,26,ARI,3.75,73.30%,9.10%,18.20%,45.50%,27.30%,90.90%,66.70%,80.00%,75.00%,0.00%,0.00%,0.00%
781,Jared Walsh*\walshja01,25,LAA,4.04,53.80%,30.00%,16.00%,30.00%,24.00%,70.00%,37.60%,77.10%,30.40%,17.40%,0.00%,40.00%
782,Wei-Chung Wang*\wangwe01,27,TOT,3.99,61.50%,26.60%,14.70%,28.50%,30.10%,73.40%,45.10%,79.90%,58.50%,3.80%,30.00%,16.70%
783,Adam Warren\warread01,31,SDP,4.44,57.70%,32.20%,17.80%,23.10%,26.90%,67.80%,39.10%,73.70%,56.80%,4.80%,16.00%,20.00%
784,Art Warren\warrear01,26,SEA,3.67,59.70%,19.60%,21.70%,28.30%,30.40%,80.40%,48.10%,73.00%,42.90%,4.80%,19.00%,20.00%
785,Tony Watson*\watsoto01,34,SFG,3.52,67.40%,22.00%,20.20%,26.20%,31.50%,78.00%,52.60%,74.10%,68.80%,2.20%,24.70%,9.80%
786,Luke Weaver\weavelu01,25,ARI,4.05,64.30%,26.70%,19.10%,28.50%,25.70%,73.30%,47.10%,74.00%,61.90%,3.10%,25.00%,18.80%
787,Jacob Webb\webbja01,25,ATL,4.06,65.30%,22.60%,20.30%,31.40%,25.70%,77.40%,50.60%,73.80%,66.70%,3.00%,28.80%,28.60%
788,Logan Webb\webblo01,22,SFG,3.89,61.80%,29.40%,16.30%,25.10%,29.20%,70.60%,43.60%,76.90%,55.70%,4.60%,21.80%,18.90%
789,Tyler Webb*\webbty01,28,STL,4.04,62.20%,23.40%,17.30%,32.60%,26.70%,76.60%,47.60%,77.40%,59.70%,7.20%,21.30%,14.60%
790,Ryan Weber\weberry01,28,BOS,3.7,66.30%,32.40%,9.80%,26.20%,31.50%,67.60%,44.80%,85.40%,65.90%,3.30%,30.20%,48.30%
791,Allen Webster\webstal01,29,CHC,3.29,64.90%,19.80%,27.00%,19.80%,33.30%,80.20%,52.00%,66.30%,57.70%,9.60%,17.30%,22.20%
792,J.B. Wendelken\wendejb01,26,OAK,3.92,63.00%,23.80%,21.00%,28.70%,26.50%,76.20%,48.10%,72.50%,55.00%,2.30%,28.20%,26.50%
793,Zack Wheeler\wheelza01,29,NYM,3.82,67.10%,24.20%,17.40%,31.00%,27.40%,75.80%,50.90%,77.10%,65.80%,3.30%,28.70%,22.60%
794,Tyler White\whitety01,28,HOU,4,45.50%,32.50%,7.50%,22.50%,37.50%,67.50%,30.70%,88.90%,22.70%,9.10%,0.00%,50.00%
795,Rowan Wick\wickro01,26,CHC,4.19,64.20%,23.10%,19.90%,34.20%,22.80%,76.90%,49.40%,74.10%,58.60%,5.00%,35.00%,28.60%
796,Brad Wieck*\wieckbr01,27,TOT,4.25,63.20%,25.80%,20.50%,33.00%,20.80%,74.30%,46.90%,72.40%,64.40%,3.40%,31.50%,44.90%
797,Aaron Wilkerson\wilkeaa01,30,MIL,4.16,58.60%,28.20%,14.90%,26.20%,30.80%,71.80%,42.00%,79.30%,56.30%,10.00%,21.30%,27.30%
798,Stevie Wilkerson\wilkest01,27,BAL,2.82,75.80%,27.70%,12.80%,14.90%,44.70%,72.30%,54.80%,82.40%,77.30%,0.00%,27.30%,0.00%
799,Austen Williams\williau01,26,WSN,4.14,58.60%,11.80%,29.40%,29.40%,29.40%,88.20%,51.70%,66.70%,42.90%,14.30%,28.60%,0.00%
800,Devin Williams\willide03,24,MIL,4.03,62.20%,22.60%,19.60%,31.00%,26.80%,77.40%,48.10%,74.60%,56.70%,6.00%,26.90%,57.10%
801,Taylor Williams\willita01,27,MIL,3.66,62.20%,21.70%,20.50%,28.30%,29.50%,78.30%,48.70%,73.80%,54.80%,8.20%,20.50%,40.00%
802,Trevor Williams\willitr01,27,PIT,3.65,65.10%,22.80%,17.20%,28.90%,31.10%,77.20%,50.30%,77.80%,62.50%,5.70%,23.40%,15.00%
803,Alex Wilson\wilsoal01,32,MIL,3.54,63.40%,25.80%,15.60%,31.30%,27.30%,74.20%,47.00%,78.90%,64.90%,7.00%,21.10%,38.50%
804,Bryse Wilson\wilsobr02,21,ATL,3.83,66.30%,28.80%,14.40%,28.40%,28.40%,71.20%,47.20%,79.80%,66.70%,4.30%,38.70%,37.50%
805,Justin Wilson*\wilsoju10,31,NYM,4.17,63.30%,21.90%,19.90%,35.20%,23.10%,78.10%,49.40%,74.60%,56.00%,6.60%,26.50%,18.20%
806,Trey Wingenter\wingetr01,25,SDP,4.14,63.20%,27.40%,26.40%,26.50%,19.70%,72.60%,45.90%,63.70%,58.40%,5.90%,35.60%,20.80%
807,Dan Winkler\winklda01,29,ATL,3.77,62.70%,22.30%,26.40%,24.50%,26.80%,77.70%,48.70%,66.10%,67.70%,7.50%,32.30%,13.60%
808,Matt Wisler\wislema01,26,TOT,4.17,65.60%,25.10%,23.80%,27.40%,23.70%,74.90%,49.10%,68.20%,62.10%,1.30%,32.60%,14.30%
809,Nick Wittgren\wittgni01,28,CLE,4.22,65.50%,28.50%,16.60%,30.40%,24.50%,71.50%,46.80%,76.80%,61.50%,3.90%,34.20%,26.70%
810,Asher Wojciechowski\wojcias01,30,BAL,4.06,63.30%,23.00%,20.20%,30.60%,26.30%,77.00%,48.70%,73.80%,56.20%,3.90%,25.50%,16.30%
811,Alex Wood*\woodal02,28,CIN,3.83,64.00%,23.70%,18.90%,27.20%,30.10%,76.30%,48.80%,75.20%,67.30%,5.20%,30.70%,13.30%
812,Hunter Wood\woodhu01,25,TOT,3.86,65.70%,24.10%,20.60%,26.30%,28.90%,75.90%,49.90%,72.80%,59.00%,6.20%,32.80%,17.90%
813,Brandon Woodruff\woodrbr01,26,MIL,4,67.00%,23.50%,19.50%,33.20%,23.80%,76.50%,51.30%,74.50%,60.70%,3.20%,29.60%,33.60%
814,Brandon Workman\workmbr01,30,BOS,4.32,59.90%,34.90%,22.70%,24.30%,18.10%,65.10%,39.00%,65.20%,58.00%,7.60%,24.70%,25.00%
815,Matt Wotherspoon\wothema01,27,BAL,3.96,58.30%,20.00%,18.30%,26.70%,35.00%,80.00%,46.60%,77.10%,53.80%,11.50%,34.60%,0.00%
816,Kyle Wright\wrighky01,23,ATL,3.77,57.30%,27.40%,17.40%,24.90%,30.30%,72.60%,41.60%,76.00%,49.50%,7.50%,15.10%,5.60%
817,Mike Wright\wrighmi01,29,TOT,3.93,61.50%,23.40%,18.00%,29.60%,29.00%,76.60%,47.10%,76.50%,65.30%,4.10%,24.50%,36.70%
818,Steven Wright\wrighst01,34,BOS,4,59.10%,33.30%,15.40%,21.80%,29.50%,66.70%,39.40%,76.90%,39.40%,12.10%,9.10%,60.00%
819,Jimmy Yacabonis\yacabji01,27,BAL,3.99,58.20%,27.70%,16.50%,25.90%,29.90%,72.30%,42.10%,77.20%,51.80%,2.60%,16.10%,24.20%
820,Jordan Yamamoto\yamamjo01,23,MIA,4.22,62.40%,27.90%,16.60%,31.90%,23.50%,72.10%,45.00%,76.90%,50.30%,5.50%,23.30%,25.60%
821,Ryan Yarbrough*\yarbrry01,27,TBR,3.64,67.00%,25.90%,16.50%,27.30%,30.30%,74.10%,49.60%,77.70%,65.40%,1.80%,25.40%,32.50%
822,Eric Yardley\yardler01,28,SDP,3.48,68.50%,29.00%,16.10%,21.80%,33.10%,71.00%,48.60%,77.30%,71.20%,1.90%,34.60%,28.60%
823,Kirby Yates\yateski01,32,SDP,4.2,66.30%,25.10%,25.80%,31.00%,18.00%,74.90%,49.70%,65.50%,61.30%,0.40%,32.10%,25.70%
824,Gabriel Ynoa\ynoaga01,26,BAL,3.78,64.60%,22.60%,15.50%,29.10%,32.80%,77.40%,50.00%,79.90%,62.70%,3.10%,24.80%,23.90%
825,Huascar Ynoa\ynoahu01,21,ATL,4.13,60.60%,27.50%,17.50%,25.00%,30.00%,72.50%,43.90%,75.90%,50.00%,6.30%,18.80%,0.00%
826,Alex Young*\youngal01,25,ARI,3.79,64.30%,25.60%,20.40%,25.00%,29.00%,74.40%,47.80%,72.60%,60.00%,4.00%,26.60%,9.90%
827,Daniel Zamora*\zamorda01,26,NYM,4.12,61.50%,32.70%,16.30%,25.00%,26.00%,67.30%,41.40%,75.70%,53.70%,12.20%,36.60%,12.50%
828,T.J. Zeuch\zeuchtj01,23,TOR,4.08,58.70%,24.50%,17.30%,29.50%,28.70%,75.50%,44.30%,77.10%,56.60%,7.10%,13.10%,20.00%
829,Kyle Zimmer\zimmeky01,27,KCR,4.26,58.60%,21.60%,21.20%,31.80%,25.50%,78.40%,46.00%,73.00%,56.90%,3.90%,26.50%,27.80%
830,Jordan Zimmermann\zimmejo02,33,DET,3.7,65.00%,27.90%,14.60%,25.20%,32.20%,72.10%,46.80%,79.70%,63.60%,3.40%,23.20%,13.40%
831,Ben Zobrist\zobribe01,38,CHC,3.8,42.10%,12.50%,12.50%,50.00%,25.00%,87.50%,36.80%,85.70%,60.00%,20.00%,20.00%,0.00%
