Rk,Name,Age,Tm,Pit/PA,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,AS/Pit,Con,1st%,30%,2%,L/SO%
583,Austin Pruitt\pruitau01,29,TBR,3.73,66.50%,26.70%,18.20%,25.50%,29.60%,73.30%,48.80%,75.20%,73.60%,3.10%,24.90%,30.80%
584,A.J. Puk*\pukaj01,24,OAK,4.3,63.90%,27.10%,22.50%,27.90%,22.50%,72.90%,46.50%,69.10%,63.80%,6.40%,21.30%,15.40%
585,Cal Quantrill\quantca01,24,SDP,4,62.80%,22.30%,17.40%,31.40%,28.90%,77.70%,48.80%,77.60%,57.10%,5.20%,20.70%,21.30%
586,Jose Quijada*\quijajo01,23,MIA,4.49,58.70%,23.40%,26.30%,31.80%,18.40%,76.60%,45.00%,65.60%,56.30%,7.60%,28.50%,15.90%
587,Roman Quinn\quinnro01,26,PHI,3.37,51.60%,30.30%,3.00%,21.20%,45.50%,69.70%,35.90%,95.70%,47.40%,15.80%,0.00%,100.00%
588,Jose Quintana*\quintjo01,30,CHC,3.79,62.40%,29.00%,14.90%,25.20%,30.90%,71.00%,44.30%,79.10%,62.30%,4.30%,21.40%,33.60%
589,Tanner Rainey\raineta01,26,WSN,4.17,60.30%,23.60%,30.90%,27.40%,18.00%,76.40%,46.10%,59.50%,54.60%,10.20%,31.90%,8.10%
590,Erasmo Ramirez\ramirer02,29,BOS,2.73,56.10%,21.70%,17.40%,8.70%,52.20%,78.30%,43.90%,77.80%,60.00%,6.70%,6.70%,100.00%
591,JC Ramirez\ramirjc01,30,LAA,3.15,64.50%,23.20%,17.40%,18.80%,40.60%,76.80%,49.50%,77.40%,61.80%,0.00%,26.50%,0.00%
592,Neil Ramirez\ramirne01,30,TOT,4.12,62.90%,22.40%,23.10%,29.30%,25.20%,77.60%,48.80%,70.20%,67.00%,4.50%,29.50%,20.80%
593,Nick Ramirez*\ramirni01,29,DET,3.8,61.00%,22.90%,21.80%,25.80%,29.50%,77.10%,47.00%,71.70%,54.90%,6.90%,18.40%,14.90%
